season,season_type,Week,week_num,Date,home_team,away_team,home_team_norm,away_team_norm,home_team_suffix,away_team_suffix,home_conf,home_div_initial,away_conf,away_div_initial,home_div,away_div,same_conf,same_div,home_conf_enc,away_conf_enc,home_div_enc,away_div_enc,is_international,home_field_advantage_pts,pre_elo_home_cont,pre_elo_away_cont,elo_diff_cont,expected_home_win_prob,home_win_proba
2025,regular,15.0,15.0,2025-12-14,Cincinnati Bengals,Baltimore Ravens,Cincinnati Bengals,Baltimore Ravens,AFC-N,AFC-N,AFC,N,AFC,N,North,North,1,1,0,0,1,1,0,-9.688954818700624,1509.2332184088773,1596.4632722599083,-87.23005385103102,0.3640310300252001,0.33837976207777315
2025,regular,15.0,15.0,2025-12-14,New York Giants,Washington Commanders,New York Giants,Washington Commanders,NFC-E,NFC-E,NFC,E,NFC,E,East,East,1,1,1,1,0,0,0,-10.0,1299.4510719151358,1472.2911228496991,-172.84005093456335,0.25874303135674837,0.3554523661557335
2025,regular,15.0,15.0,2025-12-14,Philadelphia Eagles,Las Vegas Raiders,Philadelphia Eagles,Las Vegas Raiders,NFC-E,AFC-W,NFC,E,AFC,W,East,West,0,0,1,0,0,3,0,90.0,1697.5582565442494,1277.255769955593,420.3024865886564,0.9496711476532531,0.8651232417204947
2025,regular,15.0,15.0,2025-12-14,Chicago Bears,Cleveland Browns,Chicago Bears,Cleveland Browns,NFC-N,AFC-N,NFC,N,AFC,N,North,North,0,1,1,0,1,1,0,-10.0,1524.7782412512297,1307.7824788070905,216.99576244413925,0.7670205590844034,0.7766793339738779
2025,regular,15.0,15.0,2025-12-14,Denver Broncos,Green Bay Packers,Denver Broncos,Green Bay Packers,AFC-W,NFC-N,AFC,W,NFC,N,West,North,0,0,0,1,3,1,0,46.60424669791215,1650.4357043956577,1675.740292608502,-25.304588212844237,0.5306143291034184,0.4798737146761893
2025,regular,15.0,15.0,2025-12-14,San Francisco 49ers,Tennessee Titans,San Francisco 49ers,Tennessee Titans,NFC-W,AFC-S,NFC,W,AFC,S,West,South,0,0,1,0,3,2,0,50.47751689940722,1556.489765582601,1190.6350080833158,365.85475749928514,0.9165677622426329,0.8483146920582674
2025,regular,15.0,15.0,2025-12-14,New Orleans Saints,Carolina Panthers,New Orleans Saints,Carolina Panthers,NFC-S,NFC-S,NFC,S,NFC,S,South,South,1,1,1,1,2,2,0,-7.242806591134064,1308.249308971207,1349.167695592134,-40.91838662092687,0.43113101889309946,0.3785445017977211
2025,regular,15.0,15.0,2025-12-14,Los Angeles Rams,Detroit Lions,Los Angeles Rams,Detroit Lions,NFC-W,NFC-N,NFC,W,NFC,N,West,North,1,0,1,1,3,1,0,90.0,1639.1112137332705,1704.5651731052085,-65.45395937193803,0.5352659371657724,0.4876377470961009
2025,regular,15.0,15.0,2025-12-14,Seattle Seahawks,Indianapolis Colts,Seattle Seahawks,Indianapolis Colts,NFC-W,AFC-S,NFC,W,AFC,S,West,South,0,0,1,0,3,2,0,30.125867473759985,1646.4437979537477,1494.317899610642,152.12589834310575,0.7406069354114898,0.7075846967734682
2025,regular,15.0,15.0,2025-12-14,Dallas Cowboys,Minnesota Vikings,Dallas Cowboys,Minnesota Vikings,NFC-E,NFC-N,NFC,E,NFC,N,East,North,1,0,1,1,0,1,0,90.0,1472.683769685854,1470.0095329233172,2.6742367625367933,0.6302934193458345,0.6476125607157218
2025,regular,15.0,15.0,2025-12-15,Pittsburgh Steelers,Miami Dolphins,Pittsburgh Steelers,Miami Dolphins,AFC-N,AFC-E,AFC,N,AFC,E,North,East,1,0,0,0,1,0,0,90.0,1476.6719649349352,1442.2960578906586,34.37590704427657,0.6717179248560787,0.6582970368313643
2025,regular,16.0,16.0,2025-12-18,Seattle Seahawks,Los Angeles Rams,Seattle Seahawks,Los Angeles Rams,NFC-W,NFC-W,NFC,W,NFC,W,West,West,1,1,1,1,3,3,0,30.125867473759985,1646.4437979537477,1639.1112137332705,7.332584220477202,0.5536991422593192,0.47377437842224823
2025,regular,16.0,16.0,2025-12-20,Washington Commanders,Philadelphia Eagles,Washington Commanders,Philadelphia Eagles,NFC-E,NFC-E,NFC,E,NFC,E,East,East,1,1,1,1,0,0,0,-10.0,1472.2911228496991,1697.5582565442494,-225.26713369455024,0.20516720559552104,0.31848603776894857
2025,regular,16.0,16.0,2025-12-20,Chicago Bears,Green Bay Packers,Chicago Bears,Green Bay Packers,NFC-N,NFC-N,NFC,N,NFC,N,North,North,1,1,1,1,1,1,0,-10.0,1524.7782412512297,1675.740292608502,-150.96205135727223,0.2836206884579513,0.36117238717636885
2025,regular,16.0,16.0,2025-12-21,Cleveland Browns,Buffalo Bills,Cleveland Browns,Buffalo Bills,AFC-N,AFC-E,AFC,N,AFC,E,North,East,1,0,0,0,1,0,0,46.60424669791215,1307.7824788070905,1688.7001223536554,-380.91764354656493,0.12736475324594196,0.31546664635156835
2025,regular,16.0,16.0,2025-12-21,New Orleans Saints,New York Jets,New Orleans Saints,New York Jets,NFC-S,AFC-E,NFC,S,AFC,E,South,East,0,0,1,0,2,0,0,-7.242806591134064,1308.249308971207,1350.0861702324285,-41.83686126122143,0.42983477933056513,0.4352956534663606
2025,regular,16.0,16.0,2025-12-21,Tennessee Titans,Kansas City Chiefs,Tennessee Titans,Kansas City Chiefs,AFC-S,AFC-W,AFC,S,AFC,W,South,West,1,0,0,0,2,3,0,-10.0,1190.6350080833158,1696.5908913878477,-505.9558833045319,0.04879597189328264,0.27666617552426936
2025,regular,16.0,16.0,2025-12-21,Dallas Cowboys,Los Angeles Chargers,Dallas Cowboys,Los Angeles Chargers,NFC-E,AFC-W,NFC,E,AFC,W,East,West,0,0,1,0,0,3,0,90.0,1472.683769685854,1541.6729889375115,-68.98921925165746,0.5302001381760977,0.4369623738426358
2025,regular,16.0,16.0,2025-12-21,Baltimore Ravens,New England Patriots,Baltimore Ravens,New England Patriots,AFC-N,AFC-E,AFC,N,AFC,E,North,East,1,0,0,0,1,0,0,90.0,1596.4632722599083,1532.6602776434836,63.80299461642471,0.7079319616741195,0.5547213170836398
